新聞‧財經,#genre#
台視,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=4gtv-4gtv066
中視,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=4gtv-4gtv040
華視,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=4gtv-4gtv041
亞洲旅遊台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=4gtv-4gtv076
東森購物1台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=4gtv-4gtv102
東森購物2台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=4gtv-4gtv103
好消息,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=litv-ftv16
好消息2台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=litv-ftv17
Smart知識台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=litv-longturn19
ELTV生活英語台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=litv-longturn20
DayStar,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=daystar
空中英語教室HD頻道,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii16
中天亞洲精采台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii36
全民星攻略 知識開箱,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii81
Focus探索新知台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii82
鄉民大學問,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii83
地球檔案庫,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii84
社會NOW什麼,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii85
啦啦隊獨家專訪,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii88
泰可愛旋風,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii89
演唱會直擊,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii91
健康問良醫,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii92
ASMR行車紀錄,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii94
Freeman @台灣,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii95
饕客揪愛吃,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii96
人氣動漫預告,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii97
九九敬老頻道,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii99
生命的贏家,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii192
電動車時代,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii215
SiCAR愛車酷,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii216
狂人日誌,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii217
脖子解說 Mr. Neck,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii218
紓壓雷雨聲,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii250
療癒下雨聲,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii251
放鬆的爵士午後,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii252
夏日陽光海浪聲,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii254
大自然流水聲,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii255
卡通‧兒童,#genre#
龍華卡通台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=litv-longturn01
新哆啦A夢(中文版),http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii23
新哆啦A夢(中文版)2台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii24
超人力霸王台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii187
電影,#genre#
龍華洋片台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=litv-longturn02
龍華電影台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=litv-longturn03
龍華經典台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=litv-longturn21
Golden 強片台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii70
周星馳台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii73
歐飛電影台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii74
歐飛動作電影台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii75
Golden影迷台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii76
劉德華台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii77
香港天王台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii78
戲劇,#genre#
龍華日韓台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=litv-longturn11
龍華偶像台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=litv-longturn12
龍華戲劇台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=litv-longturn18
台灣戲劇台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=litv-longturn22
公視金獎台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii13
經典劇場,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii38
短劇馬拉松,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii39
Focus風采戲劇台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii1048
長安十二時辰,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii100
韶華若錦,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii101
白髮,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii102
三國,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii103
武媚娘傳奇,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii104
長樂曲,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii105
軍師聯盟,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii106
軍師聯盟2 虎嘯龍吟,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii107
國色芳華,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii108
落花時節又逢君,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii109
楚喬傳,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii110
倚天屠龍記 2019,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii111
鳳囚凰,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii112
步步驚心,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii113
九重紫,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii114
私藏浪漫,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii115
佔有姜西,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii117
深情眼,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii118
以家人之名,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii119
有你的時光裡,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii120
我的差評女友,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii121
三十而已,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii123
月嫂先生,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii124
回到20歲,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii145
白雪公主非死不可,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii146
好搭檔,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii147
月升之江,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii148
台灣靈異事件,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii150
包青天 1993版,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii151
我的婆婆怎麼那麼可愛,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii152
村裡來了個暴走女外科,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii153
一把青,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii154
茶金,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii155
苦力,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii156
俗女養成記,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii157
麻醉風暴,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii158
海派甜心,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii195
轉角遇到愛,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii197
劣人傳之詭計,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii200
熱門收視頻道,#genre#
哆啦Ａ夢台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii22
去有風的地方,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii116
全民星攻略,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii131
綜藝,#genre#
TVBS食尚玩家,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii31
東森娛樂台,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii32
綜藝大集合,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii125
豬哥壹級棒,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii126
鬼話連篇,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii127
醫師好辣,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii128
WTO姐妹會,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii129
健康2.0,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii132
台灣啟示錄,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii133
法眼黑與白,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii134
天才衝衝衝,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii135
一步一腳印 發現新台灣,http://49.213.157.177:5050/channel?type=txt&token=Gya9aLFEWomo2prewaW56FE8u6baDFIBacFMsZ07zMThH4vEFv2v8voNWVWvQ9Qh&channel=ofiii136
